Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
07:16:00,20250102,Friday,68.0,34,4,13,119,Moderate
06:59:00,20250117,Friday,31.0,39,13,18,101,Clear
21:11:00,20250122,Tuesday,32.0,1,2,23,58,Clear
00:21:00,20250111,Thursday,51.0,30,7,17,105,Moderate
15:01:00,20250131,Saturday,60.0,22,8,13,103,Heavy
02:18:00,20250113,Thursday,55.0,34,17,7,113,Clear
13:52:00,20250119,Sunday,17.0,9,2,6,34,Heavy
22:00:00,20250109,Saturday,32.0,50,14,6,102,Clear
12:03:00,20250117,Thursday,13.0,32,4,7,56,Clear
07:18:00,20250103,Monday,94.0,32,11,20,157,Heavy
07:59:00,20250123,Wednesday,73.0,45,13,12,143,Clear
22:05:00,20250117,Sunday,,25,12,7,44,Jam
15:13:00,20250107,Friday,79.0,45,7,17,148,Heavy
01:25:00,20250106,Friday,11.0,17,9,22,59,Moderate
17:33:00,20250126,Friday,4.0,-10,18,26,38,Jam
08:56:00,20250126,Thursday,42.0,40,18,20,120,Moderate
17:55:00,20250117,Wednesday,15.0,11,14,24,64,Heavy
03:59:00,20250105,Wednesday,45.0,48,0,21,114,Jam
13:10:00,20250121,Wednesday,88.0,37,1,9,135,Moderate
10:05:00,20250109,Monday,42.0,48,0,0,90,Jam
17:35:00,20250128,Tuesday,78.0,20,15,22,135,Jam
08:42:00,20250126,Tuesday,82.0,32,19,28,161,Clear
07:18:00,20250102,Thursday,13.0,27,12,30,82,Jam
23:13:00,20250110,Tuesday,70.0,22,15,4,111,Heavy
08:09:00,20250101,Friday,68.0,17,12,14,111,Jam
09:53:00,20250106,Tuesday,75.0,29,12,10,126,Heavy
18:37:00,20250102,Tuesday,75.0,38,13,7,133,Moderate
07:22:00,20250116,Thursday,50.0,35,5,8,98,Moderate
05:29:00,20250120,Thursday,60.0,-5,8,2,65,Clear
08:05:00,20250131,Friday,4.0,45,20,3,72,Clear
05:07:00,20250114,Thursday,30.0,27,20,19,96,Jam
16:36:00,20250131,Monday,42.0,46,15,15,118,Jam
06:11:00,20250114,Wednesday,72.0,18,4,23,117,Moderate
14:48:00,20250116,Tuesday,17.0,38,2,1,58,Moderate
05:35:00,20250110,Saturday,79.0,21,20,8,128,Moderate
16:58:00,20250128,Wednesday,95.0,42,11,20,168,Moderate
12:05:00,20250125,Thursday,44.0,39,1,21,105,Moderate
11:18:00,20250110,Sunday,9.0,25,9,5,48,Moderate
21:18:00,20250102,Saturday,18.0,12,0,30,60,Clear
01:54:00,20250101,Friday,58.0,17,7,24,106,Moderate
08:15:00,20250105,Saturday,19.0,24,18,6,67,Moderate
11:51:00,20250130,Wednesday,10.0,17,2,15,44,Jam
21:29:00,20250111,Tuesday,10.0,25,4,25,64,Moderate
02:42:00,20250126,Saturday,,25,2,22,49,Clear
03:19:00,20250107,Saturday,91.0,34,18,24,167,Jam
10:40:00,20250124,Thursday,79.0,43,3,16,141,Clear
02:20:00,20250102,Monday,,-6,12,9,15,Jam
20:24:00,20250114,Tuesday,21.0,45,1,15,82,Heavy
01:27:00,20250101,Monday,10.0,-9,10,12,23,Heavy
03:12:00,20250114,Monday,23.0,26,13,24,86,Clear
00:32:00,20250113,Wednesday,69.0,47,13,12,141,Clear
00:10:00,20250131,Friday,51.0,26,17,29,123,Heavy
13:37:00,20250122,Tuesday,90.0,26,16,4,136,Clear
10:31:00,20250109,Friday,56.0,17,19,6,98,Heavy
22:53:00,20250119,Thursday,48.0,47,5,19,119,Clear
13:51:00,20250127,Wednesday,,24,17,28,69,Heavy
22:14:00,20250112,Thursday,73.0,12,17,13,115,Clear
02:48:00,20250107,Tuesday,49.0,32,4,21,106,Jam
18:24:00,20250121,Saturday,73.0,41,10,27,151,Moderate
07:21:00,20250125,Sunday,,2,2,23,27,Clear
11:49:00,20250128,Monday,62.0,25,8,8,103,Heavy
17:37:00,20250114,Friday,83.0,39,4,23,149,Moderate
21:31:00,20250104,Sunday,53.0,9,13,29,104,Moderate
11:11:00,20250111,Saturday,6.0,35,9,5,55,Moderate
22:22:00,20250131,Saturday,16.0,13,2,30,61,Clear
17:50:00,20250104,Saturday,5.0,18,7,23,53,Clear
22:41:00,20250131,Sunday,52.0,21,1,0,74,Heavy
14:16:00,20250113,Thursday,28.0,29,16,17,90,Jam
08:07:00,20250122,Saturday,41.0,12,16,10,79,Clear
10:34:00,20250116,Monday,40.0,33,14,0,87,Clear
21:54:00,20250121,Wednesday,37.0,-9,20,24,72,Heavy
14:21:00,20250108,Sunday,41.0,25,7,25,98,Heavy
15:31:00,20250117,Tuesday,75.0,25,5,29,134,Jam
23:12:00,20250124,Saturday,36.0,4,2,15,57,Moderate
09:09:00,20250116,Wednesday,,10,4,5,19,Clear
06:34:00,20250128,Tuesday,26.0,14,10,0,50,Moderate
02:15:00,20250114,Tuesday,85.0,2,14,27,128,Heavy
05:54:00,20250128,Tuesday,57.0,46,15,3,121,Moderate
19:40:00,20250113,Monday,69.0,2,0,19,90,Clear
07:15:00,20250104,Friday,18.0,33,20,26,97,Heavy
16:43:00,20250103,Wednesday,53.0,48,10,17,128,Moderate
09:21:00,20250129,Friday,2.0,3,14,21,40,Clear
07:32:00,20250112,Saturday,13.0,39,16,16,84,Jam
21:01:00,20250123,Wednesday,33.0,-9,10,28,62,Clear
13:27:00,20250102,Thursday,37.0,6,13,16,72,Clear
02:53:00,20250105,Wednesday,46.0,47,2,19,114,Clear
01:25:00,20250110,Monday,52.0,20,4,6,82,Jam
13:07:00,20250103,Saturday,53.0,36,7,3,99,Heavy
