Time,Part of the Day,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation,City
07:16:00,Morning,20250102,Friday,68,34,4,13,119,Moderate,Delhi
06:59:00,Morning,20250117,Friday,31,39,13,18,101,Clear,Mumbai
21:11:00,Night,20250122,Tuesday,32,1,2,23,58,Clear,Bangalore
00:21:00,Night,20250111,Thursday,51,30,7,17,105,Moderate,Kolkata
15:01:00,Afternoon,20250131,Saturday,60,22,8,13,103,Heavy,Hyderabad
02:18:00,Night,20250113,Thursday,55,34,17,7,113,Clear,Chennai
13:52:00,Afternoon,20250119,Sunday,17,9,2,6,34,Heavy,Delhi
22:00:00,Night,20250109,Saturday,32,50,14,6,102,Clear,Mumbai
12:03:00,Afternoon,20250117,Thursday,13,32,4,7,56,Clear,Bangalore
07:18:00,Morning,20250103,Monday,94,32,11,20,157,Heavy,Kolkata
07:59:00,Morning,20250123,Wednesday,73,45,13,12,143,Clear,Hyderabad
22:05:00,Night,20250117,Sunday,,25,12,7,44,Jam,Chennai
15:13:00,Afternoon,20250107,Friday,79,45,7,17,148,Heavy,Delhi
01:25:00,Night,20250106,Friday,11,17,9,22,59,Moderate,Mumbai
17:33:00,Evening,20250126,Friday,4,-10,18,26,38,Jam,Bangalore
08:56:00,Morning,20250126,Thursday,42,40,18,20,120,Moderate,Kolkata
17:55:00,Evening,20250117,Wednesday,15,11,14,24,64,Heavy,Hyderabad
03:59:00,Night,20250105,Wednesday,45,48,0,21,114,Jam,Chennai
13:10:00,Afternoon,20250121,Wednesday,88,37,1,9,135,Moderate,Delhi
10:05:00,Morning,20250109,Monday,42,48,0,0,90,Jam,Mumbai
17:35:00,Evening,20250128,Tuesday,78,20,15,22,135,Jam,Bangalore
08:42:00,Morning,20250126,Tuesday,82,32,19,28,161,Clear,Kolkata
07:18:00,Morning,20250102,Thursday,13,27,12,30,82,Jam,Hyderabad
23:13:00,Night,20250110,Tuesday,70,22,15,4,111,Heavy,Chennai
08:09:00,Morning,20250101,Friday,68,17,12,14,111,Jam,Delhi
09:53:00,Morning,20250106,Tuesday,75,29,12,10,126,Heavy,Mumbai
18:37:00,Evening,20250102,Tuesday,75,38,13,7,133,Moderate,Bangalore
07:22:00,Morning,20250116,Thursday,50,35,5,8,98,Moderate,Kolkata
05:29:00,Morning,20250120,Thursday,60,-5,8,2,65,Clear,Hyderabad
08:05:00,Morning,20250131,Friday,4,45,20,3,72,Clear,Chennai
05:07:00,Morning,20250114,Thursday,30,27,20,19,96,Jam,Delhi
16:36:00,Afternoon,20250131,Monday,42,46,15,15,118,Jam,Mumbai
06:11:00,Morning,20250114,Wednesday,72,18,4,23,117,Moderate,Bangalore
14:48:00,Afternoon,20250116,Tuesday,17,38,2,1,58,Moderate,Kolkata
05:35:00,Morning,20250110,Saturday,79,21,20,8,128,Moderate,Hyderabad
16:58:00,Afternoon,20250128,Wednesday,95,42,11,20,168,Moderate,Chennai
12:05:00,Afternoon,20250125,Thursday,44,39,1,21,105,Moderate,Delhi
11:18:00,Morning,20250110,Sunday,9,25,9,5,48,Moderate,Mumbai
21:18:00,Night,20250102,Saturday,18,12,0,30,60,Clear,Bangalore
01:54:00,Night,20250101,Friday,58,17,7,24,106,Moderate,Kolkata
08:15:00,Morning,20250105,Saturday,19,24,18,6,67,Moderate,Hyderabad
11:51:00,Morning,20250130,Wednesday,10,17,2,15,44,Jam,Chennai
21:29:00,Night,20250111,Tuesday,10,25,4,25,64,Moderate,Delhi
02:42:00,Night,20250126,Saturday,,25,2,22,49,Clear,Mumbai
03:19:00,Night,20250107,Saturday,91,34,18,24,167,Jam,Bangalore
10:40:00,Morning,20250124,Thursday,79,43,3,16,141,Clear,Kolkata
02:20:00,Night,20250102,Monday,,-6,12,9,15,Jam,Hyderabad
20:24:00,Evening,20250114,Tuesday,21,45,1,15,82,Heavy,Chennai
01:27:00,Night,20250101,Monday,10,-9,10,12,23,Heavy,Delhi
03:12:00,Night,20250114,Monday,23,26,13,24,86,Clear,Mumbai
00:32:00,Night,20250113,Wednesday,69,47,13,12,141,Clear,Bangalore
00:10:00,Night,20250131,Friday,51,26,17,29,123,Heavy,Kolkata
13:37:00,Afternoon,20250122,Tuesday,90,26,16,4,136,Clear,Hyderabad
10:31:00,Morning,20250109,Friday,56,17,19,6,98,Heavy,Chennai
22:53:00,Night,20250119,Thursday,48,47,5,19,119,Clear,Delhi
13:51:00,Afternoon,20250127,Wednesday,,24,17,28,69,Heavy,Mumbai
22:14:00,Night,20250112,Thursday,73,12,17,13,115,Clear,Bangalore
02:48:00,Night,20250107,Tuesday,49,32,4,21,106,Jam,Kolkata
18:24:00,Evening,20250121,Saturday,73,41,10,27,151,Moderate,Hyderabad
07:21:00,Morning,20250125,Sunday,,2,2,23,27,Clear,Chennai
11:49:00,Morning,20250128,Monday,62,25,8,8,103,Heavy,Delhi
17:37:00,Evening,20250114,Friday,83,39,4,23,149,Moderate,Mumbai
21:31:00,Night,20250104,Sunday,53,9,13,29,104,Moderate,Bangalore
11:11:00,Morning,20250111,Saturday,6,35,9,5,55,Moderate,Kolkata
22:22:00,Night,20250131,Saturday,16,13,2,30,61,Clear,Hyderabad
17:50:00,Evening,20250104,Saturday,5,18,7,23,53,Clear,Chennai
22:41:00,Night,20250131,Sunday,52,21,1,0,74,Heavy,Delhi
14:16:00,Afternoon,20250113,Thursday,28,29,16,17,90,Jam,Mumbai
08:07:00,Morning,20250122,Saturday,41,12,16,10,79,Clear,Bangalore
10:34:00,Morning,20250116,Monday,40,33,14,0,87,Clear,Kolkata
21:54:00,Night,20250121,Wednesday,37,-9,20,24,72,Heavy,Hyderabad
14:21:00,Afternoon,20250108,Sunday,41,25,7,25,98,Heavy,Chennai
15:31:00,Afternoon,20250117,Tuesday,75,25,5,29,134,Jam,Delhi
23:12:00,Night,20250124,Saturday,36,4,2,15,57,Moderate,Mumbai
09:09:00,Morning,20250116,Wednesday,,10,4,5,19,Clear,Bangalore
06:34:00,Morning,20250128,Tuesday,26,14,10,0,50,Moderate,Kolkata
02:15:00,Night,20250114,Tuesday,85,2,14,27,128,Heavy,Hyderabad
05:54:00,Morning,20250128,Tuesday,57,46,15,3,121,Moderate,Chennai
19:40:00,Evening,20250113,Monday,69,2,0,19,90,Clear,Delhi
07:15:00,Morning,20250104,Friday,18,33,20,26,97,Heavy,Mumbai
16:43:00,Afternoon,20250103,Wednesday,53,48,10,17,128,Moderate,Bangalore
09:21:00,Morning,20250129,Friday,2,3,14,21,40,Clear,Kolkata
07:32:00,Morning,20250112,Saturday,13,39,16,16,84,Jam,Hyderabad
21:01:00,Night,20250123,Wednesday,33,-9,10,28,62,Clear,Chennai
13:27:00,Afternoon,20250102,Thursday,37,6,13,16,72,Clear,Delhi
02:53:00,Night,20250105,Wednesday,46,47,2,19,114,Clear,Mumbai
01:25:00,Night,20250110,Monday,52,20,4,6,82,Jam,Bangalore
13:07:00,Afternoon,20250103,Saturday,53,36,7,3,99,Heavy,Kolkata
16:44:00,Afternoon,20250105,Tuesday,45,25,14,0,84,Clear,Hyderabad
20:00:00,Evening,20250101,Sunday,87,47,5,6,145,Jam,Chennai
20:06:00,Evening,20250103,Wednesday,88,47,7,2,144,Heavy,Delhi
16:41:00,Afternoon,20250125,Sunday,78,48,8,26,160,Jam,Mumbai
15:07:00,Afternoon,20250116,Wednesday,85,9,14,23,131,Heavy,Bangalore
13:35:00,Afternoon,20250123,Saturday,7,37,4,27,75,Clear,Kolkata
06:51:00,Morning,20250131,Saturday,47,39,11,17,114,Moderate,Hyderabad
22:02:00,Night,20250110,Wednesday,94,10,14,30,148,Moderate,Chennai
07:49:00,Morning,20250128,Saturday,67,19,9,22,117,Jam,Delhi
23:03:00,Night,20250117,Saturday,32,-1,20,19,70,Heavy,Mumbai
13:18:00,Afternoon,20250116,Sunday,5,-5,2,27,29,Heavy,Bangalore
07:59:00,Morning,20250120,Saturday,28,0,1,27,56,Heavy,Kolkata
07:26:00,Morning,20250109,Sunday,72,23,10,30,135,Jam,Hyderabad
05:40:00,Morning,20250126,Thursday,89,25,8,9,131,Clear,Chennai
01:28:00,Night,20250112,Wednesday,93,28,10,7,138,Heavy,Delhi
23:34:00,Night,20250107,Saturday,49,40,17,9,115,Clear,Mumbai
02:12:00,Night,20250110,Sunday,85,40,7,19,151,Jam,Bangalore
17:56:00,Evening,20250116,Thursday,89,45,20,7,161,Clear,Kolkata
06:46:00,Morning,20250105,Saturday,67,4,2,7,80,Clear,Hyderabad
01:00:00,Night,20250113,Tuesday,53,1,5,18,77,Heavy,Chennai
15:13:00,Afternoon,20250108,Thursday,61,-7,7,26,87,Clear,Delhi
11:30:00,Morning,20250120,Friday,67,19,8,12,106,Jam,Mumbai
16:53:00,Afternoon,20250120,Thursday,78,15,14,18,125,Heavy,Bangalore
10:17:00,Morning,20250105,Thursday,25,26,8,21,80,Jam,Kolkata
22:02:00,Night,20250131,Thursday,32,17,0,29,78,Moderate,Hyderabad
01:53:00,Night,20250108,Saturday,18,40,9,15,82,Heavy,Chennai
21:18:00,Night,20250129,Saturday,94,25,0,16,135,Heavy,Delhi
20:23:00,Evening,20250116,Sunday,83,40,9,22,154,Moderate,Mumbai
02:18:00,Night,20250103,Friday,36,13,11,28,88,Jam,Bangalore
00:18:00,Night,20250104,Thursday,23,23,14,0,60,Heavy,Kolkata
14:20:00,Afternoon,20250111,Wednesday,71,49,0,25,145,Moderate,Hyderabad
14:27:00,Afternoon,20250103,Friday,4,1,10,4,19,Heavy,Chennai
18:47:00,Evening,20250115,Tuesday,52,20,14,7,93,Moderate,Delhi
06:24:00,Morning,20250131,Friday,13,41,20,27,101,Jam,Mumbai
04:50:00,Night,20250121,Wednesday,61,17,17,22,117,Jam,Bangalore
19:51:00,Evening,20250131,Friday,35,44,4,30,113,Jam,Kolkata
23:03:00,Night,20250129,Tuesday,42,41,15,17,115,Heavy,Hyderabad
02:29:00,Night,20250121,Saturday,80,14,16,26,136,Clear,Chennai
21:23:00,Night,20250116,Monday,61,29,8,3,101,Heavy,Delhi
04:28:00,Night,20250101,Thursday,71,-7,3,15,82,Moderate,Mumbai
19:30:00,Evening,20250125,Monday,65,25,20,21,131,Clear,Bangalore
22:16:00,Night,20250116,Saturday,65,47,5,12,129,Moderate,Kolkata
15:27:00,Afternoon,20250109,Friday,100,42,5,22,169,Moderate,Hyderabad
19:12:00,Evening,20250109,Thursday,25,11,7,26,69,Heavy,Chennai
10:23:00,Morning,20250103,Saturday,52,-10,12,18,72,Moderate,Delhi
19:28:00,Evening,20250106,Saturday,68,33,4,7,112,Clear,Mumbai
05:07:00,Morning,20250125,Tuesday,27,15,9,25,76,Jam,Bangalore
12:21:00,Afternoon,20250106,Saturday,68,36,20,28,152,Clear,Kolkata
12:24:00,Afternoon,20250115,Tuesday,30,10,20,24,84,Clear,Hyderabad
12:45:00,Afternoon,20250125,Wednesday,35,21,1,23,80,Heavy,Chennai
17:22:00,Evening,20250129,Thursday,36,37,5,17,95,Clear,Delhi
12:49:00,Afternoon,20250124,Friday,58,14,2,28,102,Heavy,Mumbai
22:39:00,Night,20250107,Tuesday,35,12,16,25,88,Jam,Bangalore
16:53:00,Afternoon,20250119,Sunday,14,39,1,16,70,Clear,Kolkata
02:25:00,Night,20250125,Monday,43,44,7,30,124,Jam,Hyderabad
18:56:00,Evening,20250125,Sunday,80,35,7,28,150,Heavy,Chennai
03:38:00,Night,20250130,Monday,60,32,9,26,127,Clear,Delhi
17:04:00,Evening,20250119,Wednesday,43,14,6,3,66,Heavy,Mumbai
22:26:00,Night,20250108,Friday,,1,12,28,41,Moderate,Bangalore
17:08:00,Evening,20250108,Tuesday,40,-1,15,1,55,Jam,Kolkata
07:16:00,Morning,20250115,Wednesday,22,38,15,5,80,Moderate,Hyderabad
18:51:00,Evening,20250116,Tuesday,7,15,1,0,23,Moderate,Chennai
19:42:00,Evening,20250105,Thursday,72,46,6,10,134,Jam,Delhi
20:51:00,Evening,20250118,Thursday,34,39,13,30,116,Jam,Mumbai
00:12:00,Night,20250126,Saturday,75,9,15,12,111,Clear,Bangalore
20:28:00,Evening,20250104,Sunday,91,41,16,2,150,Moderate,Kolkata
08:17:00,Morning,20250120,Sunday,6,1,13,12,32,Moderate,Hyderabad
03:00:00,Night,20250122,Tuesday,99,-9,0,4,94,Jam,Chennai
14:57:00,Afternoon,20250102,Sunday,48,10,15,26,99,Clear,Delhi
11:21:00,Morning,20250122,Saturday,13,18,15,14,60,Heavy,Mumbai
13:20:00,Afternoon,20250121,Thursday,77,2,5,19,103,Clear,Bangalore
16:14:00,Afternoon,20250117,Saturday,4,25,20,23,72,Heavy,Kolkata
21:38:00,Night,20250113,Tuesday,13,43,19,30,105,Moderate,Hyderabad
20:22:00,Evening,20250112,Friday,98,50,19,13,180,Clear,Chennai
23:47:00,Night,20250127,Wednesday,31,44,18,7,100,Clear,Delhi
05:28:00,Morning,20250124,Monday,63,-3,4,11,75,Heavy,Mumbai
22:09:00,Night,20250125,Thursday,48,1,8,8,65,Clear,Bangalore
16:38:00,Afternoon,20250129,Friday,65,29,2,2,98,Moderate,Kolkata
04:04:00,Night,20250113,Monday,100,47,8,8,163,Moderate,Hyderabad
15:16:00,Afternoon,20250122,Friday,45,15,0,13,73,Heavy,Chennai
16:01:00,Afternoon,20250102,Monday,15,13,0,17,45,Jam,Delhi
14:32:00,Afternoon,20250101,Thursday,60,11,3,7,81,Clear,Mumbai
15:54:00,Afternoon,20250117,Friday,88,27,14,30,159,Heavy,Bangalore
06:30:00,Morning,20250126,Monday,48,13,13,11,85,Heavy,Kolkata
13:28:00,Afternoon,20250124,Friday,46,40,14,29,129,Clear,Hyderabad
21:19:00,Night,20250101,Tuesday,45,12,12,6,75,Moderate,Chennai
00:16:00,Night,20250105,Monday,82,10,6,30,128,Jam,Delhi
06:13:00,Morning,20250117,Sunday,98,23,9,27,157,Clear,Mumbai
15:46:00,Afternoon,20250129,Tuesday,68,34,19,16,137,Moderate,Bangalore
06:43:00,Morning,20250105,Monday,33,-2,17,29,77,Moderate,Kolkata
08:37:00,Morning,20250101,Monday,43,-5,11,2,51,Moderate,Hyderabad
09:54:00,Morning,20250109,Sunday,75,12,0,30,117,Jam,Chennai
00:55:00,Night,20250103,Wednesday,38,10,1,7,56,Clear,Delhi
00:04:00,Night,20250115,Tuesday,46,37,19,4,106,Heavy,Mumbai
19:19:00,Evening,20250126,Friday,,11,6,14,31,Clear,Bangalore
19:48:00,Evening,20250123,Sunday,,-9,1,24,16,Moderate,Kolkata
01:10:00,Night,20250131,Sunday,81,32,9,30,152,Jam,Hyderabad
12:09:00,Afternoon,20250101,Tuesday,63,45,1,22,131,Moderate,Chennai
16:18:00,Afternoon,20250125,Friday,83,13,6,18,120,Jam,Delhi
23:06:00,Night,20250104,Tuesday,64,16,19,21,120,Moderate,Mumbai
17:08:00,Evening,20250118,Saturday,39,1,3,14,57,Jam,Bangalore
10:10:00,Morning,20250115,Saturday,57,-3,6,22,82,Clear,Kolkata
18:38:00,Evening,20250104,Sunday,58,37,4,16,115,Moderate,Hyderabad
05:14:00,Morning,20250117,Saturday,59,35,15,30,139,Jam,Chennai
02:00:00,Night,20250130,Wednesday,15,20,10,4,49,Moderate,Delhi
15:21:00,Afternoon,20250115,Sunday,,47,8,7,62,Clear,Mumbai
02:15:00,Night,20250109,Thursday,98,3,4,6,111,Heavy,Bangalore
20:51:00,Evening,20250111,Sunday,38,44,9,0,91,Jam,Kolkata
11:20:00,Morning,20250116,Sunday,39,37,15,15,106,Clear,Hyderabad
21:01:00,Night,20250101,Wednesday,17,-10,20,1,28,Moderate,Chennai
12:09:00,Afternoon,20250120,Sunday,74,4,8,4,90,Heavy,Delhi
13:43:00,Afternoon,20250105,Wednesday,66,14,5,10,95,Moderate,Mumbai
11:04:00,Morning,20250128,Tuesday,32,22,3,4,61,Heavy,Bangalore
03:03:00,Night,20250107,Friday,42,1,13,22,78,Jam,Kolkata
11:22:00,Morning,20250131,Sunday,58,17,3,26,104,Clear,Hyderabad
14:44:00,Afternoon,20250128,Wednesday,5,10,12,29,56,Jam,Chennai
21:09:00,Night,20250106,Monday,92,26,2,18,138,Clear,Delhi
04:05:00,Night,20250106,Monday,26,30,5,2,63,Heavy,Mumbai
00:35:00,Night,20250115,Monday,28,19,7,22,76,Moderate,Bangalore
18:48:00,Evening,20250118,Saturday,47,28,14,14,103,Heavy,Kolkata
15:27:00,Afternoon,20250106,Wednesday,49,13,1,14,77,Heavy,Hyderabad
